motivo,Prop_homem,Prop_mulher,Quantidade
Remuneração,64.17910447761194,56.79513184584179,1660.0
Benefícios,13.619402985074627,10.547667342799189,344.0
Propósito do trabalho e da empresa,20.05597014925373,23.123732251521297,544.0
Flexibilidade de trabalho remoto,36.28731343283582,39.148073022312374,972.0
Ambiente e clima de trabalho,18.61007462686567,24.543610547667345,521.0
Aprendizado e convivência com referências na área,35.26119402985074,32.048681541582155,916.0
Plano de carreira e oportunidades,31.99626865671642,32.25152129817444,847.0
Maturidade da empresa em termos de tecnologia,15.158582089552239,15.010141987829615,399.0
Qualidade dos gestores e líderes,7.1361940298507465,8.72210953346856,196.0
Reputação que a empresa tem no mercado,4.897388059701493,4.665314401622718,130.0